         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.003    0.000    0.004    0.000 /usr/lib/python3.11/re/_compiler.py:241(_optimize_charset)
     7365    0.004    0.000    0.004    0.000 /home/pi/Lightshow/git/pixil_utils/timer_manager.py:31(is_time_expired)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.11/json/decoder.py:1(<module>)
      256    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1454    0.003    0.000    0.004    0.000 {built-in method builtins.max}
     1040    0.004    0.000    0.004    0.000 /home/pi/Lightshow/git/pixil_utils/expression_parser.py:11(validate_color_value)
        1    0.004    0.004    0.004    0.004 /usr/lib/python3.11/multiprocessing/process.py:1(<module>)
      586    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/PIL/ImageFont.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/ma/extras.py:1(<module>)
     3073    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
      275    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      342    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/fft/__init__.py:1(<module>)
        1    0.001    0.001    0.004    0.004 /usr/lib/python3/dist-packages/numpy/core/defchararray.py:1(<module>)
        6    0.001    0.000    0.004    0.001 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:34(__init__)
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/core/_methods.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.11/logging/__init__.py:454(StrFormatStyle)
        9    0.002    0.000    0.004    0.000 /usr/lib/python3.11/collections/__init__.py:348(namedtuple)
     7431    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/lib/mixins.py:1(<module>)
     2355    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/numpy/lib/mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.11/pathlib.py:111(_WindowsFlavour)
    34/22    0.000    0.000    0.003    0.000 /usr/lib/python3.11/typing.py:461(__getitem__)
